country,Country identification
iso_numeric,Country identification
iso2,Country identification
iso3,Country identification
c_cdr,Estimates
c_cdr_hi,Estimates
c_cdr_lo,Estimates
c_newinc_100k,Estimates
e_inc_100k,Estimates
e_inc_100k_hi,Estimates
e_inc_100k_lo,Estimates
e_inc_num,Estimates
e_inc_num_hi,Estimates
e_inc_num_lo,Estimates
e_inc_tbhiv_100k,Estimates
e_inc_tbhiv_100k_hi,Estimates
e_inc_tbhiv_100k_lo,Estimates
e_inc_tbhiv_num,Estimates
e_inc_tbhiv_num_hi,Estimates
e_inc_tbhiv_num_lo,Estimates
e_mdr_num,Estimates
e_mdr_num_hi,Estimates
e_mdr_num_lo,Estimates
e_mort_exc_tbhiv_100k,Estimates
e_mort_exc_tbhiv_100k_hi,Estimates
e_mort_exc_tbhiv_100k_lo,Estimates
e_mort_exc_tbhiv_num,Estimates
e_mort_exc_tbhiv_num_hi,Estimates
e_mort_exc_tbhiv_num_lo,Estimates
e_mort_tbhiv_100k,Estimates
e_mort_tbhiv_100k_hi,Estimates
e_mort_tbhiv_100k_lo,Estimates
e_mort_tbhiv_num,Estimates
e_mort_tbhiv_num_hi,Estimates
e_mort_tbhiv_num_lo,Estimates
e_new_mdr_num,Estimates
e_new_mdr_num_hi,Estimates
e_new_mdr_num_lo,Estimates
e_new_mdr_pcnt,Estimates
e_new_mdr_pcnt_hi,Estimates
e_new_mdr_pcnt_lo,Estimates
e_pop_num,Estimates
e_prev_100k,Estimates
e_prev_100k_hi,Estimates
e_prev_100k_lo,Estimates
e_prev_num,Estimates
e_prev_num_hi,Estimates
e_prev_num_lo,Estimates
e_ret_mdr_num,Estimates
e_ret_mdr_num_hi,Estimates
e_ret_mdr_num_lo,Estimates
e_ret_mdr_pcnt,Estimates
e_ret_mdr_pcnt_hi,Estimates
e_ret_mdr_pcnt_lo,Estimates
e_tbhiv_prct,Estimates
e_tbhiv_prct_hi,Estimates
e_tbhiv_prct_lo,Estimates
source_drs_coverage_new,Estimates
source_drs_coverage_ret,Estimates
source_drs_year_new,Estimates
source_drs_year_ret,Estimates
